ad_name,Targeting,Spend,BAR,ROAS,CTR,CVR
Clicky_NumberWindowsBrand_V2_IMG_LearnMore_ Total,,"$10,633.88",18%,0.87,0.48%,1.93%
Whiteboard_deviousdan_Cost_HereswhatXshouldcostyouin2025_IMG_LearnMore_,Appts,"$2,090.30",0%,0.22,0.75%,0.30%
Whiteboard_deviousdan_Cost_HereswhatXshouldcostyouin2025_IMG_LearnMore_,Lead+Book Appt,"$1,893.31",6%,1.27,0.68%,1.71%
Whiteboard_deviousdan_Cost_HereswhatXshouldcostyouin2025_IMG_LearnMore_,Lead+Iss.Appt,$22.08,0%,0.00,0.87%,0.00%
Whiteboard_deviousdan_Cost_HereswhatXshouldcostyouin2025_IMG_LearnMore_,Leads,"$1,674.81",14%,1.25,1.22%,1.60%
Whiteboard_deviousdan_Cost_HereswhatXshouldcostyouin2025_IMG_LearnMore_,Purchase Value,"$4,584.69",19%,1.54,0.88%,2.35%
Whiteboard_deviousdan_Cost_HereswhatXshouldcostyouin2025_IMG_LearnMore_,Purchases,$230.47,0%,1.95,1.24%,3.00%
Whiteboard_deviousdan_Cost_HereswhatXshouldcostyouin2025_IMG_LearnMore_ Total,,"$10,495.66",14%,1.19,0.85%,1.69%
d:Ad|c:Windows|b:RBA|s:Internal|ty:Video|st:Solution|f:CaulkingVideos,Leads,"$9,494.65",12%,1.09,0.62%,2.17%
d:Ad|c:Windows|b:RBA|s:Internal|ty:Video|st:Solution|f:CaulkingVideos Total,,"$9,494.65",12%,1.09,0.62%,2.17%
d:Ad|c:Windows|b:RBA|s:VSLQueen|ty:Video|st:Offer|f:KendallReEdit,Leads,"$6,640.75",17%,0.66,0.55%,2.14%
d:Ad|c:Windows|b:RBA|s:VSLQueen|ty:Video|st:Offer|f:KendallReEdit Total,,"$6,640.75",17%,0.66,0.55%,2.14%
BeforeAfter_ClickyNumberWindowsBrand_V4_IMG_LearnMore_,Purchases,"$5,793.13",10%,0.78,0.32%,3.70%
BeforeAfter_ClickyNumberWindowsBrand_V4_IMG_LearnMore_ Total,,"$5,793.13",10%,0.78,0.32%,3.70%
Install_V3_RbABrand__VID_LearnMore_,Appts,"$4,693.84",36%,0.35,0.85%,0.79%
Install_V3_RbABrand__VID_LearnMore_,Lead+Book Appt,$61.65,0%,0.00,3.26%,0.00%
Install_V3_RbABrand__VID_LearnMore_,Lead+Iss.Appt,$0.45,0%,0.00,0.00%,#DIV/0!
Install_V3_RbABrand__VID_LearnMore_,Leads,$43.11,50%,6.96,1.16%,15.38%
Install_V3_RbABrand__VID_LearnMore_,Purchase Value,$109.50,0%,1.37,0.98%,4.17%
Install_V3_RbABrand__VID_LearnMore_,Purchases,$878.14,21%,2.39,0.83%,7.73%
Install_V3_RbABrand__VID_LearnMore_ Total,,"$5,786.69",29%,0.73,0.87%,1.69%
Clicky_StateBrand_Offers_IMG_LearnMore_,Appts,"$1,944.53",0%,0.39,0.90%,0.80%
Clicky_StateBrand_Offers_IMG_LearnMore_,Lead+Book Appt,$288.10,0%,0.52,0.65%,0.76%
Clicky_StateBrand_Offers_IMG_LearnMore_,Lead+Iss.Appt,$15.35,0%,0.00,1.19%,0.00%
Clicky_StateBrand_Offers_IMG_LearnMore_,Leads,$205.97,0%,0.73,1.55%,0.91%
Clicky_StateBrand_Offers_IMG_LearnMore_,Purchase Value,$548.07,100%,0.55,0.97%,1.08%
Clicky_StateBrand_Offers_IMG_LearnMore_,Purchases,"$2,408.50",13%,2.37,1.62%,4.52%
Clicky_StateBrand_Offers_IMG_LearnMore_ Total,,"$5,410.52",15%,1.30,1.13%,2.46%
d:Ad|c:Windows|b:RBA|s:Cousin|ty:Video|st:UGC|f:WillHook4,Leads,"$4,326.20",42%,0.42,0.78%,1.37%
d:Ad|c:Windows|b:RBA|s:Cousin|ty:Video|st:UGC|f:WillHook4 Total,,"$4,326.20",42%,0.42,0.78%,1.37%
AD2_Rachel_SocialProof_WindowsBrand_VID_LearnMore_,Leads,"$4,112.44",37%,0.69,0.82%,1.82%
AD2_Rachel_SocialProof_WindowsBrand_VID_LearnMore_ Total,,"$4,112.44",37%,0.69,0.82%,1.82%
AD13_Danielle_SocialProof_WindowsBrand_VID_LearnMore_,Leads,"$3,906.62",50%,0.38,0.59%,1.21%
AD13_Danielle_SocialProof_WindowsBrand_VID_LearnMore_ Total,,"$3,906.62",50%,0.38,0.59%,1.21%
