ad_name,creative_url,ad_id,,,Has Traits?
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:GridSelector|f:Bathroom1V2,https://scontent-ord5-1.xx.fbcdn.net/v/t45.1600-4/557624287_1444423746671351_9071239366414944437_n.png?stp=dst-jpg_tt6&_nc_cat=111&ccb=1-7&_nc_sid=890911&_nc_ohc=t_YJK7VrqhgQ7kNvwEicpJo&_nc_oc=AdnP0l5xJ2kDI1DLHEUiPzCe1ityq1nZU1OTcDW2hS3zyRULfFREefCFU9bhMKmXAzA&_nc_zt=1&_nc_ht=scontent-ord5-1.xx&edm=AAT1rw8EAAAA&_nc_gid=j8xnjszwl890Ri0pIbuRTw&oh=00_AfdZ8-cHwLPyBhh3LI9Kc4QXaOspyqun7oFgxXI7wC_1Vg&oe=68ED4B5C,120231657665420408,,,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:GridSelector|f:Bathroom1V2
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:GridSelector|f:Shower1,https://scontent-ord5-1.xx.fbcdn.net/v/t45.1600-4/550791783_1350969839953208_9214164086966686054_n.png?stp=dst-jpg_tt6&_nc_cat=101&ccb=1-7&_nc_sid=890911&_nc_ohc=8bw6sr-ks9QQ7kNvwEciUHN&_nc_oc=AdmI5f-drssnbQcZAkeXLwWICCFswL6AT7qgsy9Je8nrFGoyty_xp7L3xUy-cZwDjKA&_nc_zt=1&_nc_ht=scontent-ord5-1.xx&edm=AAT1rw8EAAAA&_nc_gid=hHGzIgNbkOfMiydr5_CC2Q&oh=00_Afew6U8IgaT0qhYQzPRo5yEl0OIMpFTnwmRC-ZY0c_7skA&oe=68ED4C6D,120231277802220408,,,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:GridSelector|f:Shower1
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:GridSelector|f:Vanity1,https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/550510336_1285929012716867_2153585021530965246_n.png?stp=dst-jpg_tt6&_nc_cat=109&ccb=1-7&_nc_sid=890911&_nc_ohc=MKn1DBpdoxUQ7kNvwG3JWcz&_nc_oc=AdktqxcwYR5xuUjJ1MV8QdFxR1R4qUl2tIMRDA0dfzq6M_5figodE_EpbyaBaQIroek&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=F0uSAMGtDzjaZAnUxKuVwA&oh=00_AfbXthjy6C1gEBaEHWbXmc6v7nR7_KkgucI8X7cbIIGeKg&oe=68D8D6C4,120231277796430408,,,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:GridSelector|f:Vanity1
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:NetworxLux|f:Image15CTA,https://scontent-ord5-3.xx.fbcdn.net/v/t45.1600-4/559202416_813166611245470_8206439806533891633_n.png?stp=dst-jpg_tt6&_nc_cat=100&ccb=1-7&_nc_sid=890911&_nc_ohc=ScnXHuMJ6AcQ7kNvwGSdDa7&_nc_oc=AdnrZ-a26SSOzpNMN3kfgSjbqjyrvOTDDCz_QmJrIfHpHmTSsc03kw8JNPaLwqIetrA&_nc_zt=1&_nc_ht=scontent-ord5-3.xx&edm=AAT1rw8EAAAA&_nc_gid=hHGzIgNbkOfMiydr5_CC2Q&oh=00_AffUYatohSCO-eSbqCFsXHPZtON48nDu5sxdJ34wIncLvQ&oe=68ED2F02,120231805295800408,,,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:NetworxLux|f:Image15CTA
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:NetworxLux|f:Journey7,https://scontent-ord5-3.xx.fbcdn.net/v/t45.1600-4/551491820_649263694906473_5568059005507392706_n.png?stp=dst-jpg_tt6&_nc_cat=110&ccb=1-7&_nc_sid=890911&_nc_ohc=kU-WztD7GKwQ7kNvwFX9QtD&_nc_oc=AdlddIQ4xqRAXWcOd1RUv46q1FmpxwgJCG-X3WcvjT5xEqdgehYGPVIMC-NdyM4BcD8&_nc_zt=1&_nc_ht=scontent-ord5-3.xx&edm=AAT1rw8EAAAA&_nc_gid=hHGzIgNbkOfMiydr5_CC2Q&oh=00_AfeW0ckyiUxQx0Cyh2C1JR_sZrawkJrrhSHaP7DSez5gng&oe=68ED198C,120231276492430408,,,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:NetworxLux|f:Journey7
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:SneakySven|f:Affordability,https://scontent-ord5-3.xx.fbcdn.net/v/t45.1600-4/528074090_2184074852037851_3930227872724332617_n.png?stp=dst-jpg_tt6&_nc_cat=100&ccb=1-7&_nc_sid=890911&_nc_ohc=E2QDcHRQo7MQ7kNvwEzOV05&_nc_oc=AdkAYcaX4f2rPuF8sNI4InvbDW9komvOplZQFhk-kDLMvPPJVSuIR9btJUX_bkWhDF4&_nc_zt=1&_nc_ht=scontent-ord5-3.xx&edm=AAT1rw8EAAAA&_nc_gid=hHGzIgNbkOfMiydr5_CC2Q&oh=00_AffY2cJUoLxPoINYtke1hp-uygCu5ZKq6V1tQ2mEXaWYCw&oe=68ED422C,120231642779690408,,,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:SneakySven|f:Affordability
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:SneakySven|f:BathCost,https://scontent-ord5-3.xx.fbcdn.net/v/t45.1600-4/528712658_1507866240560802_2554600691766062330_n.png?stp=dst-jpg_tt6&_nc_cat=100&ccb=1-7&_nc_sid=890911&_nc_ohc=YxksAoTEHqQQ7kNvwEdgyzH&_nc_oc=AdnBA6uVzTv9p9aFb_-U_njBshQT7UMZrwl_RY_umfasOaDqhQiioEzv93lebsZEk9w&_nc_zt=1&_nc_ht=scontent-ord5-3.xx&edm=AAT1rw8EAAAA&_nc_gid=j8xnjszwl890Ri0pIbuRTw&oh=00_AfftPB3suof-rwuPCuur20aGHD-a-uSTqnFoKTwnh4LWOA&oe=68ED3A24,120231642778850408,,,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:SneakySven|f:BathCost
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:SneakySven|f:OneDay,https://scontent-ord5-1.xx.fbcdn.net/v/t45.1600-4/528535422_730221653127574_4315436508949587785_n.png?stp=dst-jpg_tt6&_nc_cat=108&ccb=1-7&_nc_sid=890911&_nc_ohc=8wYMkR1wpS0Q7kNvwFBXXqU&_nc_oc=Adlgb7GNF-UrWBLAcGjLoJOrS8zdYgM6EQzO3chYQUIOHB5Iib8nH3wSbe8Gncoar18&_nc_zt=1&_nc_ht=scontent-ord5-1.xx&edm=AAT1rw8EAAAA&_nc_gid=j8xnjszwl890Ri0pIbuRTw&oh=00_AfeSBwfwXgWPcnQzAKK1Y3eXFQuRV3NTnR4VGaGAXrpteg&oe=68ED3F82,120231642778950408,,,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:SneakySven|f:OneDay
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:SneakySven|f:ShowerCost,https://scontent-ord5-3.xx.fbcdn.net/v/t45.1600-4/528468779_1651930792156184_3754368490930399396_n.png?stp=dst-jpg_tt6&_nc_cat=109&ccb=1-7&_nc_sid=890911&_nc_ohc=N1c5PadUhjwQ7kNvwFoHJiR&_nc_oc=AdlxP42FXBzqo5lSeigclZf0GO4YH38o38FJcuOXjmhbpD89KzR2Kkg1QC9Jif7Q1NE&_nc_zt=1&_nc_ht=scontent-ord5-3.xx&edm=AAT1rw8EAAAA&_nc_gid=j8xnjszwl890Ri0pIbuRTw&oh=00_Afcm7Q0vxtqMls0zBNnZDB1J6snvDmQNooBSXEZcdtSukA&oe=68ED2EFC,120229532046700408,,,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:SneakySven|f:ShowerCost
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:TextImage|f:8Reasons1,https://scontent-ord5-1.xx.fbcdn.net/v/t45.1600-4/556912088_1274736221001165_8090900667236686461_n.png?stp=dst-jpg_tt6&_nc_cat=101&ccb=1-7&_nc_sid=890911&_nc_ohc=sU6e3goSdkkQ7kNvwEovHfa&_nc_oc=AdlQ6XXSZSHIkPWDEiVtsv632SZO4vh3LmLpNXXiAoGN2a-uBxj59HsMl95IB1vKgfE&_nc_zt=1&_nc_ht=scontent-ord5-1.xx&edm=AAT1rw8EAAAA&_nc_gid=bynu8cb65zu4ZkcEN-lsaQ&oh=00_AffO51owKeNyCtwu5LeuHPgh1OTqtVVI9pt68U3ZYGzgGw&oe=68ED2759,120231658190500408,,,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:TextImage|f:8Reasons1
