ad_name,creative_url,ad_id,,,Has Traits?
Clicky_V3_Cost_HowMuchDoesXActuallyCost_IMG_Square_,,120232980195070563,,,Clicky_V3_Cost_HowMuchDoesXActuallyCost_IMG_Square_
Clickylavin_v2_Cost_hereswhatXshouldactuallycostyou_IMG_LearnMore_,,120233798573710563,,,Clickylavin_v2_Cost_hereswhatXshouldactuallycostyou_IMG_LearnMore_
Clickylavin_v3_Cost_hereswhatXshouldactuallycostyou_IMG_LearnMore_,,120233798573740563,,,Clickylavin_v3_Cost_hereswhatXshouldactuallycostyou_IMG_LearnMore_
Greenbar_V1_BNPLEvergreenOffer__IMG_LearnMore_lead,https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/526600589_756025654256665_6416982328926687738_n.png?stp=dst-jpg_tt6&_nc_cat=109&ccb=1-7&_nc_sid=890911&_nc_ohc=GNPFnFAdGcYQ7kNvwGHEzMB&_nc_oc=AdmD6X_NunXbCJ0mEPJihLBOu4ybwff6NcTd61c6M0If1Q1UfILTBeNAi3hdnaUHRXM&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=p9aad7N-wF4R7gSflohzdA&oh=00_Afb82nbQ-kYzhYLM3ha69u9MbSDv_KxuxO1XADVP9_Ta-g&oe=68D8F0B6,120232410395140496,,,Greenbar_V1_BNPLEvergreenOffer__IMG_LearnMore_lead
V2_BOGOEvergreenOffer__IMG_LearnMore_lead,https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/519575542_1410707270140610_927306813693086663_n.png?stp=dst-jpg_tt6&_nc_cat=100&ccb=1-7&_nc_sid=890911&_nc_ohc=ILnXNYoT_NQQ7kNvwHYWKue&_nc_oc=AdmpFm_zkJfaRTGxuTh0MEFZbuukHMADmxNaMSfCLowGULD0eiSiqRsWR-xkOwE1cR0&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&edm=AAT1rw8EAAAA&_nc_gid=vmGtE1haL7XtbYsrnM-Kyg&oh=00_AfYwfylgrAEtnHQis_1wakwkSoHPzzUm4i9Uc4zcGk52Ig&oe=68C588B3,120234300904630496,,,V2_BOGOEvergreenOffer__IMG_LearnMore_lead
V4_BOGOEvergreenOffer__IMG_LearnMore_lead,https://scontent-ord5-3.xx.fbcdn.net/v/t45.1600-4/519988184_1200544891758067_2422494199146288868_n.png?stp=dst-jpg_tt6&_nc_cat=110&ccb=1-7&_nc_sid=890911&_nc_ohc=FTy9Ai5xiQgQ7kNvwH8KFl7&_nc_oc=AdmBsslCKWlBe7i-cuZYs9oslhtpWu_vUctkjMB3l5IYpd7Jp5lH8Rstck3PEbAzE5g&_nc_zt=1&_nc_ht=scontent-ord5-3.xx&edm=AAT1rw8EAAAA&_nc_gid=-nzt9ywiaAPs0ecidsR1fQ&oh=00_AfcqpXGBlpF3PjBf2vobd_1ncnGVnzwBxoz1YfasP6O6pQ&oe=68ED1D4B,120234300904610496,,,V4_BOGOEvergreenOffer__IMG_LearnMore_lead
V5_BOGO+BNPL_EvergreenOffer__IMG_LearnMore_lead,https://scontent-ord5-3.xx.fbcdn.net/v/t45.1600-4/531300066_1058871806396409_8059671158685936390_n.png?stp=dst-jpg_tt6&_nc_cat=107&ccb=1-7&_nc_sid=890911&_nc_ohc=P6cifMuyjLsQ7kNvwHjboYE&_nc_oc=AdnjnITIDUNMa2qwyVc0oHYjddZgraJa1wf9f7A40lBXnhqYCc_3hkRjm6WNyLiLtN0&_nc_zt=1&_nc_ht=scontent-ord5-3.xx&edm=AAT1rw8EAAAA&_nc_gid=X8NrY_UzReCZILMDuzTv-A&oh=00_AfdsTyWTyOjuQ9_DyqsEugqSKn307gdRhD7WHADjgk_Mzg&oe=68ED2931,120234300904580496,,,V5_BOGO+BNPL_EvergreenOffer__IMG_LearnMore_lead
Whiteboard_ClickyNumberWindowsBrand_V1_IMG_LearnMore_,,120230381329270563,,,Whiteboard_ClickyNumberWindowsBrand_V1_IMG_LearnMore_
Whiteboard_ClickyNumberWindowsBrand_V2_IMG_LearnMore_,,120230381329290563,,,Whiteboard_ClickyNumberWindowsBrand_V2_IMG_LearnMore_
Whiteboard_ClickyNumberWindowsBrand_V3_IMG_LearnMore_,https://scontent-ord5-2.xx.fbcdn.net/v/t45.1600-4/510618905_3609999869301822_1185130744711689543_n.png?stp=dst-jpg_tt6&_nc_cat=103&ccb=1-7&_nc_sid=890911&_nc_ohc=EdipUwR7FccQ7kNvwGti0pQ&_nc_oc=Adn0fcCMNzGgQDWWIwVpulMsdykJRKlVgLAue-bXGU_31Nh6MM32qrjGvPAF1VPviro&_nc_zt=1&_nc_ht=scontent-ord5-2.xx&edm=AAT1rw8EAAAA&_nc_gid=RV13n_kPjFphu6hn9MZT6g&oh=00_Afc71krpbZAn9IANRbHsBSC9Mi6BQZSSL06ENH9eqL1Iyw&oe=68ED3DB0,120230381329300563,,,Whiteboard_ClickyNumberWindowsBrand_V3_IMG_LearnMore_
