assetname,MediaType,Image URL,Video URL,Type,assetid,headline,description,CTA,Impressions,Clicks,Leads,Revenue,Spend,Booked Appts
gutters_v31,Motion-Ads,https://cdn.taboola.com/libtrc/static/thumbnails/0f64a7c7268132fc41673f47b81cc77c.jpg,"https://cdn.taboola.com/libtrc/static/video/t_PERFORMANCE_VIDEO_OPTIMIZATION_2/h_400,c_scale/v1758066953/bgr6kzk9enea3nnbbs0n.mp4",PERFORMANCE_VIDEO,4184295953,Here's the Average Price of a 6-Hour Gutter Guards Upgrade,"How Much Does A New Gutter System Cost? Find Out with a Free, No-Obligation Estimate.",LEARN_MORE,0,0,0,$0,$0,0
gutters_v32,Motion-Ads,https://cdn.taboola.com/libtrc/static/thumbnails/0f64a7c7268132fc41673f47b81cc77c.jpg,"https://cdn.taboola.com/libtrc/static/video/t_PERFORMANCE_VIDEO_OPTIMIZATION_2/h_400,c_scale/v1758066953/bgr6kzk9enea3nnbbs0n.mp4",PERFORMANCE_VIDEO,4184295954,${city:capitalized}$: Affordable New Gutter Systems Available in These ZIPs,"How Much Does A New Gutter System Cost? Find Out with a Free, No-Obligation Estimate.",LEARN_MORE,0,0,0,$0,$0,0
windows_v4,Image,https://cdn.taboola.com/libtrc/static/thumbnails/88c21ce7bef31ad5ed60452634d3af69.jpg,,STATIC_IMAGE,4178992970,${city:capitalized}$: How Much Does It Cost To Replace Old Windows?,Upgrade your home with windows that save on energy bills and reduce noise. Get a free estimate today.,LEARN_MORE,"1,226,690","4,589",2,$50,"$1,568",0
windows_v5,Image,https://cdn.taboola.com/libtrc/static/thumbnails/a1d499629efa32fa5d7138efea9f0817.jpg,,STATIC_IMAGE,4178992971,${city:capitalized}$: How Much Does It Cost To Replace Old Windows?,Upgrade your home with windows that save on energy bills and reduce noise. Get a free estimate today.,LEARN_MORE,"1,150,019","3,929",4,$200,"$1,195",0
windows_v6,Image,https://cdn.taboola.com/libtrc/static/thumbnails/42b7d10c31045d8a1662c96d8e681497.jpg,,STATIC_IMAGE,4178992972,${city:capitalized}$: How Much Does It Cost To Replace Old Windows?,Upgrade your home with windows that save on energy bills and reduce noise. Get a free estimate today.,LEARN_MORE,"1,538,348","5,050",5,$200,"$1,718",2
windows_v13,Image,https://cdn.taboola.com/libtrc/static/thumbnails/88c21ce7bef31ad5ed60452634d3af69.jpg,,STATIC_IMAGE,4184304820,${city:capitalized}$: How Much Does It Cost To Replace Old Windows?,Upgrade your home with windows that save on energy bills and reduce noise. Get a free estimate today.,LEARN_MORE,"222,982",452,3,$150,$921,0
windows_v15,Image,https://cdn.taboola.com/libtrc/static/thumbnails/42b7d10c31045d8a1662c96d8e681497.jpg,,STATIC_IMAGE,4184304822,${city:capitalized}$: How Much Does It Cost To Replace Old Windows?,Upgrade your home with windows that save on energy bills and reduce noise. Get a free estimate today.,LEARN_MORE,"182,871",404,4,$150,$754,0
windows_v14,Image,https://cdn.taboola.com/libtrc/static/thumbnails/a1d499629efa32fa5d7138efea9f0817.jpg,,STATIC_IMAGE,4184304821,${city:capitalized}$: How Much Does It Cost To Replace Old Windows?,Upgrade your home with windows that save on energy bills and reduce noise. Get a free estimate today.,LEARN_MORE,"273,989",638,4,$200,$936,1
windows_v35,Image,https://cdn.taboola.com/libtrc/static/thumbnails/a1d499629efa32fa5d7138efea9f0817.jpg,,STATIC_IMAGE,4186768078,Here's Why These New Windows Are Trending in ${city:capitalized}$,Upgrade your home with windows that save on energy bills and reduce noise. Get a free estimate today.,LEARN_MORE,573,0,0,$0,$1,0
windows_v34,Image,https://cdn.taboola.com/libtrc/static/thumbnails/88c21ce7bef31ad5ed60452634d3af69.jpg,,STATIC_IMAGE,4186768077,Here's Why These New Windows Are Trending in ${city:capitalized}$,Upgrade your home with windows that save on energy bills and reduce noise. Get a free estimate today.,LEARN_MORE,"4,848",3,0,$0,$4,0
